fold,AUC,accuracy,precision,recall,F1
1,0.6680724312846527,0.6178861788617886,0.6126760563380281,0.5028901734104047,0.5523809523809524
2,0.6685885336793678,0.6233062330623306,0.6049382716049383,0.5664739884393064,0.5850746268656717
3,0.7054234988793204,0.6558265582655827,0.6642857142857143,0.5375722543352601,0.5942492012779552
4,0.7392945617553379,0.6991869918699187,0.7183098591549296,0.5895953757225434,0.6476190476190478
5,0.6913710251542478,0.6630434782608695,0.6967213114754098,0.4941860465116279,0.5782312925170068
6,0.6716302800189843,0.6467391304347826,0.6666666666666666,0.4883720930232558,0.563758389261745
7,0.68015840056953,0.6331521739130435,0.6293706293706294,0.5232558139534884,0.5714285714285715
8,0.6957611532985286,0.6684782608695652,0.6811594202898551,0.5465116279069767,0.6064516129032258
9,0.717326174655909,0.6657608695652174,0.6622516556291391,0.5813953488372093,0.6191950464396285
10,0.6520526815377314,0.6222826086956522,0.6259541984732825,0.47674418604651164,0.5412541254125413
