fold,AUC,accuracy,precision,recall,F1
1,0.9649935118556093,0.907859078590786,0.9112426035502958,0.8901734104046243,0.9005847953216374
2,0.9359590657072078,0.8644986449864499,0.8682634730538922,0.838150289017341,0.8529411764705881
3,0.9564114663206323,0.9024390243902439,0.9202453987730062,0.8670520231213873,0.8928571428571429
4,0.9687684322283827,0.9105691056910569,0.9022988505747126,0.9075144508670521,0.904899135446686
5,0.9542002847650688,0.9130434782608695,0.926829268292683,0.8837209302325582,0.9047619047619047
6,0.9700106786900806,0.904891304347826,0.9308176100628931,0.8604651162790697,0.8942598187311178
7,0.9564101803512102,0.8913043478260869,0.9074074074074074,0.8546511627906976,0.8802395209580838
8,0.9784646416706217,0.9483695652173914,0.9580838323353293,0.9302325581395349,0.943952802359882
9,0.9730956336022781,0.9320652173913043,0.9349112426035503,0.9186046511627907,0.9266862170087976
10,0.9703073089700998,0.9157608695652174,0.937888198757764,0.877906976744186,0.9069069069069069
