fold,AUC,accuracy,precision,recall,F1
1,0.8893623923557862,0.8102981029810298,0.8456375838926175,0.7283236994219653,0.7826086956521741
2,0.8449628406275804,0.7669376693766937,0.7668711656441718,0.7225433526011561,0.744047619047619
3,0.8574672643623923,0.7859078590785907,0.8092105263157895,0.7109826589595376,0.756923076923077
4,0.8720950808068892,0.7777777777777778,0.7791411042944786,0.7341040462427746,0.7559523809523809
5,0.8644399620313241,0.7989130434782609,0.831081081081081,0.7151162790697675,0.76875
6,0.8474727100142382,0.7527173913043478,0.7956204379562044,0.6337209302325582,0.7055016181229773
7,0.8520853108685335,0.7717391304347826,0.7894736842105263,0.6976744186046512,0.7407407407407408
8,0.8708768391077362,0.8016304347826086,0.8074534161490683,0.7558139534883721,0.7807807807807807
9,0.9131169909824395,0.8342391304347826,0.8490566037735849,0.7848837209302325,0.8157099697885195
10,0.9075106786900807,0.8125,0.8366013071895425,0.7441860465116279,0.7876923076923077
