fold,AUC,accuracy,precision,recall,F1
1,0.7989117612362866,0.6856368563685636,0.8701298701298701,0.3872832369942196,0.5359999999999999
2,0.8105756753568479,0.6233062330623306,0.562962962962963,0.8786127167630058,0.6862302483069979
3,0.8064468561991271,0.7181571815718157,0.822429906542056,0.5086705202312138,0.6285714285714286
4,0.8347882505603398,0.5853658536585366,0.5318471337579618,0.9653179190751445,0.6858316221765914
5,0.8023255813953488,0.7554347826086957,0.8360655737704918,0.5930232558139535,0.6938775510204083
6,0.8181063122923589,0.7608695652173914,0.7837837837837838,0.6744186046511628,0.725
7,0.7963188182249644,0.6847826086956522,0.868421052631579,0.38372093023255816,0.532258064516129
8,0.8406798766018035,0.7282608695652174,0.8673469387755102,0.4941860465116279,0.6296296296296297
9,0.8793011390602752,0.8016304347826086,0.8193548387096774,0.7383720930232558,0.7767584097859327
10,0.8482439487422876,0.7771739130434783,0.8214285714285714,0.6686046511627907,0.737179487179487
