fold,AUC,accuracy,precision,recall,F1
1,0.8253951869765247,0.7073170731707317,0.8282828282828283,0.47398843930635837,0.6029411764705883
2,0.8204258582045534,0.7642276422764228,0.8412698412698413,0.6127167630057804,0.7090301003344481
3,0.7648932405332075,0.5880758807588076,0.5339805825242718,0.953757225433526,0.6846473029045643
4,0.8414533443435178,0.7669376693766937,0.7485714285714286,0.7572254335260116,0.7528735632183907
5,0.7961260085429521,0.6440217391304348,0.9361702127659575,0.2558139534883721,0.4018264840182648
6,0.809266729947793,0.7554347826086957,0.75625,0.7034883720930233,0.7289156626506025
7,0.8349104176554342,0.7445652173913043,0.6875,0.8313953488372093,0.7526315789473684
8,0.8350142382534408,0.7527173913043478,0.7956204379562044,0.6337209302325582,0.7055016181229773
9,0.8630161366872331,0.7907608695652174,0.8064516129032258,0.7267441860465116,0.764525993883792
10,0.8607914095870908,0.7717391304347826,0.7558139534883721,0.7558139534883721,0.755813953488372
