fold,AUC,accuracy,precision,recall,F1
1,0.8174619558806181,0.7046070460704607,0.8555555555555555,0.44508670520231214,0.5855513307984791
2,0.8166509378317801,0.7560975609756098,0.8267716535433071,0.6069364161849711,0.7
3,0.8050312610593371,0.7479674796747967,0.7857142857142857,0.6358381502890174,0.7028753993610224
4,0.8206912822932642,0.6829268292682927,0.6157024793388429,0.861271676300578,0.7180722891566265
5,0.8428156146179403,0.7690217391304348,0.8129496402877698,0.6569767441860465,0.7266881028938906
6,0.8152586616041766,0.7445652173913043,0.7785714285714286,0.6337209302325582,0.6987179487179487
7,0.8379360465116279,0.7608695652173914,0.7210526315789474,0.7965116279069767,0.7569060773480664
8,0.8347769340294257,0.7581521739130435,0.7485029940119761,0.7267441860465116,0.7374631268436578
9,0.8853820598006644,0.8152173913043478,0.8880597014925373,0.6918604651162791,0.7777777777777778
10,0.8539689131466539,0.7472826086956522,0.6945812807881774,0.8197674418604651,0.7520000000000001
