fold,AUC,accuracy,precision,recall,F1
1,0.8540609885572726,0.7588075880758808,0.8333333333333334,0.6069364161849711,0.7023411371237458
2,0.8122566945853485,0.7642276422764228,0.8161764705882353,0.6416184971098265,0.7184466019417475
3,0.8211631473398608,0.7533875338753387,0.8360655737704918,0.5895953757225434,0.6915254237288136
4,0.8528370885926626,0.6666666666666666,0.5932835820895522,0.9190751445086706,0.7210884353741497
5,0.8175723777883247,0.7690217391304348,0.9065420560747663,0.563953488372093,0.6953405017921147
6,0.8195301376364499,0.7364130434782609,0.6777251184834123,0.8313953488372093,0.7467362924281985
7,0.8441059563360228,0.7092391304347826,0.9012345679012346,0.42441860465116277,0.5770750988142292
8,0.8541172282866635,0.7554347826086957,0.6814159292035398,0.8953488372093024,0.7738693467336683
9,0.8796274323682962,0.7527173913043478,0.945054945054945,0.5,0.6539923954372624
10,0.8680885144755576,0.782608695652174,0.8066666666666666,0.7034883720930233,0.751552795031056
