fold,AUC,accuracy,precision,recall,F1
1,0.8539135307302113,0.7615176151761518,0.8294573643410853,0.6184971098265896,0.7086092715231788
2,0.8035566827887225,0.6558265582655827,0.5950413223140496,0.8323699421965318,0.6939759036144578
3,0.8163265306122449,0.7425474254742548,0.825,0.5722543352601156,0.6757679180887373
4,0.8527191223310133,0.6585365853658537,0.5880149812734082,0.9075144508670521,0.7136363636363637
5,0.8103049359278596,0.7146739130434783,0.9466666666666667,0.4127906976744186,0.5748987854251012
6,0.8197674418604651,0.7255434782608695,0.663594470046083,0.8372093023255814,0.7403598971722366
7,0.8446398908400569,0.7119565217391305,0.8928571428571429,0.436046511627907,0.5859375
8,0.8543545325106787,0.6929347826086957,0.6138996138996139,0.9244186046511628,0.7378190255220418
9,0.88203013763645,0.7472826086956522,0.9540229885057471,0.48255813953488375,0.6409266409266409
10,0.8728642619838634,0.7989130434782609,0.8450704225352113,0.6976744186046512,0.7643312101910827
