fold,AUC,accuracy,precision,recall,F1
1,0.8139819511619677,0.7289972899728997,0.7295597484276729,0.6705202312138728,0.6987951807228916
2,0.8067417718532499,0.7560975609756098,0.7292817679558011,0.7630057803468208,0.7457627118644068
3,0.8065943140261884,0.7262872628726287,0.6956521739130435,0.7398843930635838,0.7170868347338935
4,0.7515925445322638,0.6802168021680217,0.6687116564417178,0.630057803468208,0.648809523809524
5,0.7798410061699098,0.717391304347826,0.7151898734177216,0.6569767441860465,0.6848484848484847
6,0.7978761271950641,0.7282608695652174,0.7647058823529411,0.6046511627906976,0.6753246753246753
7,0.8127224727100143,0.7309782608695652,0.7744360902255639,0.5988372093023255,0.6754098360655738
8,0.806656383483626,0.7119565217391305,0.7037037037037037,0.6627906976744186,0.6826347305389222
9,0.8803096820123397,0.8125,0.8872180451127819,0.686046511627907,0.7737704918032787
10,0.8346286188894161,0.7663043478260869,0.8257575757575758,0.6337209302325582,0.7171052631578947
