fold,AUC,accuracy,precision,recall,F1
1,0.8379291022767489,0.7560975609756098,0.7748344370860927,0.6763005780346821,0.7222222222222222
2,0.8142621210333845,0.7506775067750677,0.8,0.6242774566473989,0.7012987012987012
3,0.7932936180252448,0.7452574525745257,0.7581699346405228,0.6705202312138728,0.7116564417177914
4,0.8513035271912233,0.7696476964769647,0.7558139534883721,0.7514450867052023,0.7536231884057971
5,0.8474727100142383,0.7880434782608695,0.8671875,0.6453488372093024,0.74
6,0.8221701471286189,0.7336956521739131,0.7642857142857142,0.622093023255814,0.6858974358974359
7,0.8274649976269577,0.7744565217391305,0.7763975155279503,0.7267441860465116,0.7507507507507508
8,0.8415104413858566,0.7663043478260869,0.7866666666666666,0.686046511627907,0.732919254658385
9,0.8655968201233982,0.7853260869565217,0.8444444444444444,0.6627906976744186,0.742671009771987
10,0.8736651637399145,0.7989130434782609,0.7752808988764045,0.8023255813953488,0.7885714285714286
