fold,AUC,accuracy,precision,recall,F1
1,0.8206175533797334,0.7127371273712737,0.7913043478260869,0.5260115606936416,0.6319444444444444
2,0.8138492391176123,0.7425474254742548,0.8046875,0.5953757225433526,0.6843853820598007
3,0.7686386693405687,0.7154471544715447,0.7073170731707317,0.6705202312138728,0.688427299703264
4,0.8436652117494396,0.7615176151761518,0.717948717948718,0.8092485549132948,0.7608695652173914
5,0.7810571903179876,0.7364130434782609,0.7777777777777778,0.6104651162790697,0.6840390879478827
6,0.8237126245847176,0.7717391304347826,0.860655737704918,0.6104651162790697,0.7142857142857142
7,0.8252402705268154,0.7282608695652174,0.68,0.7906976744186046,0.7311827956989247
8,0.847858329378263,0.782608695652174,0.8108108108108109,0.6976744186046512,0.75
9,0.8653298528713812,0.7771739130434783,0.75,0.7848837209302325,0.7670454545454545
10,0.8484812529663028,0.7989130434782609,0.855072463768116,0.686046511627907,0.7612903225806451
