fold,AUC,accuracy,precision,recall,F1
1,0.8247758641028666,0.7371273712737128,0.8166666666666667,0.5664739884393064,0.6689419795221844
2,0.8084227910817505,0.7262872628726287,0.6935483870967742,0.7456647398843931,0.7186629526462396
3,0.8128760174590068,0.7615176151761518,0.785234899328859,0.6763005780346821,0.7267080745341615
4,0.844402500884747,0.7723577235772358,0.751412429378531,0.7687861271676301,0.7599999999999999
5,0.8229413858566682,0.7771739130434783,0.8308823529411765,0.6569767441860465,0.7337662337662337
6,0.7837565258661603,0.7418478260869565,0.7305389221556886,0.7093023255813954,0.71976401179941
7,0.8195449691504508,0.7690217391304348,0.7636363636363637,0.7325581395348837,0.7477744807121662
8,0.8502906976744187,0.7744565217391305,0.8201438848920863,0.6627906976744186,0.7331189710610932
9,0.8033934504034173,0.7010869565217391,0.6631578947368421,0.7325581395348837,0.6961325966850829
10,0.8425189843379212,0.7635869565217391,0.7777777777777778,0.6918604651162791,0.7323076923076923
