fold,AUC,accuracy,precision,recall,F1
1,0.8432670756163737,0.7615176151761518,0.7544910179640718,0.7283236994219653,0.7411764705882353
2,0.7952695529078683,0.7425474254742548,0.756578947368421,0.6647398843930635,0.7076923076923077
3,0.7875722543352601,0.7344173441734417,0.7819548872180451,0.6011560693641619,0.6797385620915032
4,0.8558157366993039,0.7913279132791328,0.7758620689655172,0.7803468208092486,0.7780979827089338
5,0.8207759848125297,0.7608695652173914,0.8333333333333334,0.6104651162790697,0.7046979865771813
6,0.7919731846226863,0.7472826086956522,0.7651006711409396,0.6627906976744186,0.7102803738317757
7,0.8200492406264832,0.75,0.7597402597402597,0.6802325581395349,0.7177914110429447
8,0.8571131941148552,0.7690217391304348,0.8,0.6744186046511628,0.7318611987381703
9,0.8734871855719032,0.8097826086956522,0.7833333333333333,0.8197674418604651,0.8011363636363636
10,0.877877313716184,0.7907608695652174,0.8682170542635659,0.6511627906976745,0.7441860465116279
