fold,AUC,accuracy,precision,recall,F1
1,0.9493482364043883,0.8970189701897019,0.9192546583850931,0.8554913294797688,0.8862275449101796
2,0.9168780228854548,0.8563685636856369,0.8571428571428571,0.8323699421965318,0.8445747800586509
3,0.9442314498053557,0.8617886178861789,0.8765432098765432,0.8208092485549133,0.8477611940298508
4,0.9575468915890054,0.907859078590786,0.9064327485380117,0.8959537572254336,0.9011627906976746
5,0.9510708353108686,0.9021739130434783,0.9146341463414634,0.872093023255814,0.8928571428571429
6,0.9644340294257238,0.8994565217391305,0.9299363057324841,0.8488372093023255,0.8875379939209725
7,0.9406739439962031,0.8614130434782609,0.8497109826589595,0.8546511627906976,0.8521739130434782
8,0.9719832700522069,0.9184782608695652,0.927710843373494,0.8953488372093024,0.9112426035502958
9,0.9747122686283816,0.9239130434782609,0.9,0.9418604651162791,0.9204545454545455
10,0.97140484100617,0.9130434782608695,0.9487179487179487,0.8604651162790697,0.9024390243902439
