fold,AUC,accuracy,precision,recall,F1
1,0.7562964492155245,0.7154471544715447,0.7931034482758621,0.5317919075144508,0.6366782006920415
2,0.7306240415241241,0.6802168021680217,0.6821192052980133,0.5953757225433526,0.6358024691358025
3,0.727792851244544,0.6612466124661247,0.6935483870967742,0.49710982658959535,0.5791245791245792
4,0.7306830246549487,0.6802168021680217,0.7007299270072993,0.5549132947976878,0.6193548387096773
5,0.7548350735643096,0.6875,0.7394957983193278,0.5116279069767442,0.604810996563574
6,0.700670384432843,0.6331521739130435,0.6581196581196581,0.4476744186046512,0.5328719723183392
7,0.748857973421927,0.6766304347826086,0.7264957264957265,0.4941860465116279,0.588235294117647
8,0.778921452301851,0.7146739130434783,0.7637795275590551,0.563953488372093,0.648829431438127
9,0.8084658281917417,0.7255434782608695,0.7591240875912408,0.6046511627906976,0.6731391585760518
10,0.7579200284765067,0.6739130434782609,0.7166666666666667,0.5,0.5890410958904109
