fold,AUC,accuracy,precision,recall,F1
1,0.9617052023121387,0.9051490514905149,0.9011627906976745,0.8959537572254336,0.898550724637681
2,0.9382594078093666,0.8726287262872628,0.8662790697674418,0.861271676300578,0.863768115942029
3,0.9565589241476937,0.8970189701897019,0.8947368421052632,0.884393063583815,0.8895348837209303
4,0.9702725020644096,0.9132791327913279,0.9122807017543859,0.9017341040462428,0.9069767441860466
5,0.9517679164689131,0.9157608695652174,0.937888198757764,0.877906976744186,0.9069069069069069
6,0.9689428096820123,0.9211956521739131,0.9440993788819876,0.8837209302325582,0.912912912912913
7,0.9522870194589462,0.8913043478260869,0.9074074074074074,0.8546511627906976,0.8802395209580838
8,0.9800367821547225,0.9320652173913043,0.9401197604790419,0.9127906976744186,0.9262536873156341
9,0.9717014712861889,0.9320652173913043,0.9298245614035088,0.9244186046511628,0.9271137026239067
10,0.9692097769340293,0.9021739130434783,0.930379746835443,0.8546511627906976,0.8909090909090909
