fold,AUC,accuracy,precision,recall,F1
1,0.9882476111832016,0.9539295392953929,0.9534883720930233,0.9479768786127167,0.9507246376811593
2,0.9773504777633597,0.9349593495934959,0.9408284023668639,0.9190751445086706,0.9298245614035088
3,0.9809189571782471,0.959349593495935,0.9702380952380952,0.9421965317919075,0.9560117302052786
4,0.9885867641854429,0.9512195121951219,0.9532163742690059,0.9421965317919075,0.9476744186046512
5,0.9837743236829617,0.9538043478260869,0.9640718562874252,0.936046511627907,0.9498525073746313
6,0.9881644518272424,0.9510869565217391,0.9583333333333334,0.936046511627907,0.9470588235294117
7,0.9878826530612246,0.9347826086956522,0.9404761904761905,0.9186046511627907,0.9294117647058823
8,0.9911900806834362,0.9565217391304348,0.9534883720930233,0.9534883720930233,0.9534883720930233
9,0.9966777408637875,0.9755434782608695,0.9657142857142857,0.9825581395348837,0.9740634005763689
10,0.9818017323208353,0.9510869565217391,0.9695121951219512,0.9244186046511628,0.9464285714285713
